A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,L1,L2,L3,L4,L5,L6,L7
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.78351,0.76119,0.0825,0.37164,0.20658,0.02974,0.08829,0.07152,4,4,4,1,3,4,2
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.82474,0.58955,0.06956,0.13611,0.03041,0.01703,0.04098,0.04074,1,7,6,4,2,5,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.81443,0.8209,0.01575,0.09662,0.01967,0.01808,0.02112,0.00453,1,2,2,2,2,2,2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.81443,0.67164,0.01347,0.07502,0.0361,0.02099,0.02115,0.00724,1,3,3,2,3,3,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.68041,0.80597,0.0,0.26752,0.01073,0.00233,0.01163,0.0,1,2,2,2,2,2,2
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.57732,0.8806,0.0,0.18302,0.00537,0.00233,0.00179,0.0,1,2,2,2,2,2,2
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.58763,0.80597,0.0,0.21022,0.01073,0.00233,0.00716,0.0,1,3,4,2,5,5,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.68041,0.70896,0.0,0.10882,0.02146,0.00233,0.01074,0.0,1,3,3,2,3,3,3
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.68041,0.80597,0.0,0.21764,0.01073,0.00466,0.01969,0.0,1,3,3,2,3,3,3
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.68041,0.84328,0.0,0.34378,0.01073,0.00233,0.01074,0.0,1,3,3,3,3,2,3
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.6701,0.77612,0.0,0.49217,0.01073,0.00466,0.02506,0.0,1,2,2,2,2,2,2
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.65979,0.0,0.0,0.0,0.0,0.0,0.02506,0.0,1,5,5,3,5,2,4
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.80722,0.87313,0.01043,0.10948,0.01932,0.00777,0.01193,0.0,1,2,2,2,2,2,2
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.78041,0.80597,0.01169,0.09918,0.02951,0.00466,0.01208,0.00905,1,3,2,5,5,5,4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.74124,0.87313,0.01105,0.12152,0.1717,0.00583,0.01289,0.00272,1,4,2,6,6,3,5
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.76701,0.75373,0.00749,0.06348,0.0161,0.00311,0.01074,0.00543,1,4,2,3,4,4,4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.73608,0.73134,0.00837,0.07609,0.0161,0.00292,0.01924,0.02263,2,4,1,3,4,4,4
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.72165,0.90299,0.00801,0.09959,0.01739,0.0042,0.00447,0.00453,1,3,2,3,3,3,3
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.87629,0.60448,0.09738,0.31739,0.24146,0.10496,0.27263,0.04708,2,6,5,4,1,3,7
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.81701,0.76119,0.08694,0.74856,0.11697,0.12828,0.10492,0.10502,3,4,5,7,2,1,6
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.83505,0.60448,0.34738,0.31105,0.26292,0.31895,0.44609,0.18894,6,3,1,5,2,4,7
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.84536,0.50746,0.33046,0.27337,0.29109,0.23324,0.4179,0.11769,6,3,1,5,2,4,7
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.93814,0.70149,0.09132,0.42572,0.03488,0.19942,0.38568,0.16631,5,1,4,6,2,3,5
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.83505,0.73134,0.07535,0.1061,0.24069,0.0587,0.18315,0.03259,1,4,5,4,2,3,4
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.82474,0.4403,0.06999,0.06059,0.14341,0.08397,0.18922,0.02716,2,3,1,5,4,6,6
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82474,0.24627,0.06835,0.05425,0.17707,0.08717,0.19933,0.02716,1,5,2,3,4,5,5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7732,0.68657,0.0281,0.27288,0.10839,0.06204,0.19329,0.01177,3,7,4,6,5,2,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.76289,0.73134,0.0281,0.26669,0.27365,0.09038,0.10142,0.01811,1,6,6,3,2,4,5
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.75258,0.87313,0.02656,0.40643,0.13951,0.02519,0.10738,0.03893,5,6,4,6,3,1,2
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.76289,0.66418,0.03448,0.44864,0.13236,0.06453,0.18613,0.19012,3,4,2,7,6,5,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.76289,0.83358,0.03102,0.51014,0.09615,0.07464,0.12515,0.02807,2,5,6,7,4,3,1
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7732,0.80597,0.07918,0.3634,0.79145,0.25948,0.383,0.02625,4,6,6,3,5,2,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.78351,0.44776,0.13538,0.30783,0.98086,0.32093,0.45566,0.03893,5,5,5,4,3,2,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.76289,0.80373,0.09259,0.3075,0.4606,0.13434,0.30246,0.02897,4,6,6,5,3,2,1
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.87629,0.64179,0.32082,0.31146,0.13325,0.46142,0.54288,0.36214,6,1,2,6,3,4,5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.89691,0.70149,0.44381,0.27354,0.10866,0.62449,0.70112,0.03169,5,3,4,5,1,2,5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.83505,0.79851,0.24114,0.3873,0.16419,0.44723,0.47472,0.06609,5,3,4,5,2,1,5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.90722,0.63433,0.13623,0.42308,0.10374,0.28105,0.4167,0.28065,4,2,1,3,4,6,5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.80412,0.78358,0.1788,0.2014,0.10553,0.33742,0.43669,0.08148,6,4,3,5,2,1,6
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.81443,0.8806,0.16222,0.40725,0.14702,0.37201,0.39016,0.05885,5,3,5,5,1,2,4
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.87629,0.78358,0.14487,0.02721,0.23149,0.05364,0.24787,0.18857,4,6,6,5,1,2,3
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.93814,0.40299,0.15594,0.02539,0.11328,0.24308,0.42774,0.65617,2,1,3,5,5,5,4
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.91753,0.33582,0.14751,0.02201,0.16634,0.22702,0.42178,0.89463,2,1,4,4,4,4,3
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.81443,0.47015,0.26022,0.32795,0.165,0.1207,0.36846,0.01811,4,5,1,3,2,6,6
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.80412,0.61194,0.21962,0.51113,0.45251,0.07308,0.37882,0.19827,3,4,6,5,2,1,6
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.79381,0.52985,0.16252,0.25886,0.13146,0.06676,0.33378,0.2716,2,6,1,4,3,7,5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.80412,0.48507,0.20973,0.21459,0.23132,0.03006,0.27584,0.04708,3,5,1,4,2,5,4
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.79381,0.39552,0.16688,0.23899,0.39826,0.11921,0.32871,0.15572,1,4,2,3,4,4,4
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7732,0.65672,0.14899,0.71624,0.81426,0.24373,0.52371,0.02716,3,6,5,4,2,1,6
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.78351,0.74627,0.12676,0.44979,0.33134,0.09009,0.51134,0.679,2,1,5,6,3,4,7
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.89691,0.55224,0.12204,0.19093,0.0409,0.05753,0.36112,0.02716,1,2,3,5,4,5,3
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.79381,0.82836,0.12064,0.72209,0.25648,0.12595,0.49243,0.59481,2,1,3,5,5,5,4
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.85567,0.82836,0.106,0.38458,1.0,0.09096,0.22228,0.1186,1,2,6,5,3,4,6
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.86907,0.44776,0.1026,0.22012,0.77661,0.14188,0.25384,0.22633,5,3,2,1,5,5,4
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.84124,0.82836,0.08188,0.46941,0.49566,0.1656,0.23722,0.1358,2,1,5,5,4,5,3
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.89691,0.73134,0.01504,0.12646,0.05485,0.02255,0.03102,0.00905,1,3,2,4,4,4,4
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.84536,0.84328,0.01852,0.15458,0.02683,0.01516,0.04653,0.00272,1,3,2,3,3,3,3
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.87629,0.8806,0.02002,0.14279,0.22165,0.02027,0.02982,0.01901,1,3,2,3,3,3,3
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.80412,0.44776,0.13646,0.03141,0.12724,0.0883,0.18357,0.01086,2,5,6,4,3,1,7
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.82474,0.72388,0.14776,0.038,0.23368,0.0863,0.1557,0.02716,2,3,5,5,4,1,5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.80597,0.00057,0.03347,0.01073,0.05235,0.0181,0.0,1,2,3,3,3,3,3
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8866,0.86716,0.00396,0.03669,0.02772,0.03926,0.03274,0.01267,1,4,3,4,4,2,4
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.85567,0.86567,0.01489,0.05779,0.01366,0.00827,0.02362,0.02897,1,2,2,2,2,2,2
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.86598,0.39552,0.19072,0.32152,0.1413,0.61015,0.77478,0.22558,4,2,1,5,5,5,3
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.84536,0.49254,0.33563,0.34526,0.09873,0.55557,0.57342,0.06156,4,3,1,5,2,5,5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.84536,0.70149,0.11564,0.59316,0.37073,0.33586,0.51365,0.08947,4,3,5,5,2,1,5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.83505,0.52985,0.1089,0.41863,0.06049,0.38887,0.4702,0.15572,4,2,3,6,1,4,5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.83505,0.67164,0.1237,0.5474,0.13798,0.42216,0.39783,0.0582,5,2,3,6,1,4,6
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.76289,0.79851,0.03019,0.17832,0.18341,0.08609,0.21834,0.05029,2,6,6,4,1,3,5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.85567,0.72388,0.02696,0.15837,0.07035,0.14357,0.22769,0.04738,5,6,1,4,2,3,6
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8866,0.79851,0.03065,0.18392,0.04695,0.14606,0.1604,0.01946,4,6,6,5,1,2,3
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.93814,0.86567,0.07942,0.42036,0.26439,0.12828,0.50828,0.79901,6,1,4,6,5,2,3
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.92784,0.51493,0.07237,0.24353,0.08228,0.23868,0.49635,1.0,4,1,2,4,4,4,3
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.85567,0.74627,0.07695,0.30717,0.11,0.17697,0.3179,0.45471,5,1,6,3,7,2,4
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.87629,0.75373,0.02793,0.11006,0.25326,0.08078,0.13047,0.10049,2,5,4,3,1,5,4
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.85567,0.57463,0.02574,0.09992,0.11089,0.11351,0.14755,0.01811,4,6,1,5,3,6,2
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.75258,0.78358,0.02832,0.11327,0.09913,0.11341,0.11946,0.02988,5,6,3,6,1,2,4
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.81443,0.6194,1.0,0.49835,0.4078,0.4035,0.56734,0.04979,3,4,2,1,4,5,3
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.82474,0.88806,0.33377,0.53916,0.21034,0.17493,0.15034,0.04074,4,3,6,7,2,1,5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.82474,0.68657,0.09962,0.40066,0.12878,0.43615,0.38121,0.01811,2,1,3,7,4,6,5
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.83505,0.87313,0.09109,0.42292,0.0499,0.11429,0.15839,0.02263,4,1,5,5,3,2,3
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.86907,0.73881,0.09604,0.0681,0.13307,0.0758,0.20582,0.10592,1,2,4,5,3,6,6
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.83505,0.46269,0.09962,0.05548,0.12111,0.13994,0.17565,0.01811,1,4,4,2,3,4,4
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.81443,0.83582,0.12746,0.80569,0.54194,0.15743,0.25727,0.04934,4,3,5,5,2,1,5
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.83505,0.46269,0.13056,0.42036,0.1878,0.30904,0.35283,0.05794,4,1,4,5,2,5,3
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.80412,0.70896,0.0212,0.13768,0.03649,0.03918,0.063,0.00905,2,6,1,4,5,3,6
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.81443,0.78358,0.02607,0.18994,0.14192,0.02468,0.04203,0.01811,1,4,2,3,4,4,4
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.82474,0.33582,0.20198,0.74064,0.9873,0.16327,0.35836,0.17564,4,6,6,1,2,5,3
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.78351,0.47015,0.20775,0.80091,0.21105,0.18037,0.26458,0.02716,4,2,3,6,5,6,1
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.84742,0.60448,0.10536,0.11665,0.18512,0.10884,0.22073,0.27522,1,2,6,5,3,6,4
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.85567,0.73881,0.10275,0.13083,0.25219,0.07883,0.1346,0.21547,1,2,4,3,6,7,5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8732,0.67164,0.11792,0.17329,0.09086,0.11195,0.20796,0.06609,2,1,6,4,3,5,7
1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.86598,0.36567,0.12005,0.04419,0.09855,0.25423,0.33766,0.28971,3,1,2,5,5,4,5
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.91443,0.8209,0.10514,0.18739,0.05876,0.09096,0.1301,0.20551,5,2,4,5,1,3,5
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.79381,0.32836,0.13538,0.19044,0.09658,0.05178,0.20796,0.14485,4,4,4,3,2,1,4
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.81443,0.44776,0.32652,0.22094,0.18959,0.06414,0.13661,0.01901,4,1,2,5,3,6,6
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.80412,0.78582,0.25755,0.446,0.52209,0.05598,0.10447,0.24897,3,4,6,5,1,2,6
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8866,0.26866,0.12771,0.031,0.1438,0.12618,0.22515,0.24263,3,1,3,3,3,3,2
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.86598,0.79104,0.04909,0.13644,0.10392,0.0482,0.09828,0.1865,5,1,3,5,2,5,4
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.85567,0.85821,0.06641,0.15416,0.06707,0.07172,0.13482,0.3146,2,1,2,2,2,2,2
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.92784,0.43284,0.0,0.0742,0.15239,0.2379,0.33289,0.61608,3,1,4,2,5,5,5
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.97938,0.42537,0.11239,0.00841,0.1574,0.35296,0.4519,0.84815,2,1,3,4,4,4,3
